,Word:,Occurrences:
0,Coronavirus,19
1,U.S.,16
2,Trump’s,11
3,Trump,8
4,Pandemic,8
5,China,6
6,Testing,5
7,Political,5
8,South,4
9,Response,4
10,We’re,4
11,Here’s,4
12,America,4
13,‘That’s,4
14,American,4
15,America’s,4
16,Linked,4
17,DNA,4
18,Ridiculous.’,4
19,U.S.-China,4
20,Rise,4
21,Looks,4
22,Europe’s,4
23,Abroad.,4
24,Officials,4
25,Mask,3
26,China’s,3
27,Virus,3
28,by,3
29,Cities,3
30,Teachers,3
31,Hope,3
32,cómo,3
33,Economy,3
34,White,3
35,Real,3
36,para,3
37,Over,3
38,Can’t,3
39,Data,3
40,Trade,3
41,Cases,3
42,Iran,3
43,Study,3
44,"America,",3
45,Say,2
46,Others,2
47,Online,2
48,Please,2
49,Upsides,2
50,Missile,2
51,Turmoil,2
52,América,2
53,Navigate,2
54,Recovery,2
55,Slavery,2
56,Historic,2
57,autoritarias:,2
58,Reconciliation,2
59,Undercut,2
60,Projections,2
61,nuestros,2
62,Koreans,2
63,Clash,2
64,Signals,2
65,Policy,2
66,Speak,2
67,Parsing,2
68,Quit,2
69,Worst,2
70,Mountain,2
71,Si,2
72,Market,2
73,"Virus,",2
74,Plan,2
75,preparó,2
76,Announcement,2
77,Buying,2
78,Future,2
79,Former,2
80,Envoy,2
81,"Trump,",2
82,School,2
83,economía,2
84,C.E.O.s,2
85,Remote,2
86,Aim,2
87,Russia,2
88,…,2
89,Afloat.,2
90,Fed,2
91,Brazil,2
92,hablar,2
93,Campaign,2
94,"Deaths,",2
95,Enemy,2
96,Been,2
97,Wealth,2
98,sin,2
99,Despite,2
100,Program,2
101,Toward,2
102,‘Alarmed’,2
103,Labs,2
104,Invisible,2
105,Televised,2
106,Deadly,2
107,Andrew,2
108,Italy?,2
109,Supply.,2
110,Latina,2
111,Told,2
112,Tactics,2
113,Reopening,2
114,9,2
115,Then,2
116,Panel,2
117,Care,2
118,Wary,2
119,Now,2
120,Policies:,2
121,Protests,2
122,Once,2
123,People.,2
124,Relations,2
125,Workers;,2
126,World’s,2
127,Key,2
128,Coronavirus?,2
129,Schools?,2
130,Consensus,2
131,causar,2
132,Violent,2
133,‘It’s,2
134,Everyone,2
135,Surpasses,2
136,Pay,2
137,Eve,2
138,They,2
139,Large,2
140,Halts,2
141,Post-Trump,2
142,Eclipsing,2
143,Salmonella,2
144,Economic,2
145,That’s,2
146,Reversal,2
147,Short,2
148,Stay,2
149,Signs,2
150,Group,2
151,Years,2
152,"150,000",2
153,Revised,2
154,Area,2
155,Calm,2
156,Democracy,2
157,$600,2
158,Estate,2
159,Far,2
160,Launch,2
161,Franklins,2
162,Historians:,2
163,No.,2
164,Emergency,2
165,Point,2
166,U.N.,2
167,Radical,2
168,Push,2
169,Microsoft,2
170,Jackson,2
171,Red,2
172,Police,2
173,"Tension,",2
174,Flashes,2
175,Korea,2
176,Satellites,2
177,Masks,2
178,"Plunge,",2
179,Hot,2
180,muerte,2
181,Lack,2
182,Remdesivir,2
183,maestros?,2
184,Reports,2
185,Many,2
186,Pursuit,2
187,Sentenced,2
188,History,2
189,Test,2
190,Help,2
191,Fired,2
192,reabrir,2
193,Enforcement,2
194,Do?,2
195,Workers,2
196,Lawmakers,2
197,City,2
198,Onions,2
199,California-Based,2
200,Traces,2
201,Exile,2
202,President,2
203,"6,600",2
204,Instruction,2
205,pudieran,2
206,"Outbreak,",2
207,Percent,2
208,Continue,2
209,Splintering,2
210,Quietly,2
211,Groundhog,2
212,Compares,2
213,G.O.P.,2
214,Criticized,2
215,Failure:,2
216,There.,2
217,Like?,2
218,Paper,2
219,Fires,2
220,Biden’s,2
221,Deal,2
222,Spy,2
223,Re-elect,2
224,Causes,2
225,Emerges,2
226,Survive,2
227,Leader,2
228,Look,2
229,Moment,2
230,nos,2
231,Up,2
232,Penny,2
233,Inside,2
234,Stores’,2
235,"Layoffs,",2
236,Source,2
237,Security,2
238,"Class,",2
239,Returning,2
240,Supplies,2
241,Case,2
242,TikTok,2
243,Two,2
244,Marine,2
245,Markets,2
246,Must,2
247,Week,2
248,Day’:,2
249,Programs,2
250,Just,2
251,Fix.,2
252,Irritated,2
253,Pivot,2
254,Pieces,2
255,Takes,2
256,Made,2
257,Tentaciones,2
258,Judge,2
259,July,2
260,You’re,2
261,20,2
262,Spots,2
263,Harvesting,2
264,Detained,2
265,Claims,2
266,Viral,2
267,Forced,2
268,Colleges,2
269,Little,2
270,Kept,2
271,1.,2
272,Hoping,2
273,Cards,2
274,cubrebocas,2
275,Green,2
276,Big,2
277,Unemployment,2
278,¿Cómo,2
279,Mustache,2
280,Court,2
281,Heavy-Handed,2
282,Extra,2
283,Return,2
284,Lost,2
285,If,2
286,Wrinkle,2
287,There,2
288,Again,2
289,Epidemic,2
290,Policing?,2
291,Extends,2
292,Before,2
293,Gave,2
294,Nakedly,2
295,Tweet:,2
296,Having,2
297,It’ll,2
298,padres,2
299,Understand,2
300,Jobless,2
301,empeorar,1
302,Parents,1
303,Other,1
304,Law,1
305,Hurt,1
306,Leadership,1
307,Survived.,1
308,Wag-the-Dog,1
309,Paralysis.,1
310,Black,1
311,Begins,1
312,Brink,1
313,Clashes,1
314,Latest,1
315,Life,1
316,Daughter’s,1
317,Drone,1
318,Did,1
319,Effort,1
320,Backlogs,1
321,Party.,1
322,Journey,1
323,Citing,1
324,Europa,1
325,Landlords,1
326,19th-Century,1
327,Criminal,1
328,Face,1
329,Labor,1
330,Beans,1
331,War,1
332,Mars,1
333,Warning,1
334,Left.,1
335,Jump,1
336,Isolation,1
337,Shift,1
338,"Tianwen-1,",1
339,Ideal,1
340,Bad,1
341,Gives?,1
342,racismo,1
343,Projects,1
344,Vaccine,1
345,Secrets,1
346,Where,1
347,Not.,1
348,fax,1
349,Interrupt,1
350,From,1
351,$174,1
352,"Patient,",1
353,Commits,1
354,She,1
355,Million,1
356,Isn’t,1
357,Members,1
358,Hits,1
359,Intensify,1
360,Downfall.,1
361,Gun,1
362,Mandates,1
363,actuar,1
364,They?,1
365,Know,1
366,Private,1
367,estaba,1
368,convirtió,1
369,Out,1
370,New,1
371,Pandemic-Ready.,1
372,Became,1
373,enfrentar,1
374,Reopenings,1
375,donde,1
376,Asylum,1
377,Close,1
378,comprar,1
379,Uncle,1
380,Family,1
381,Riddled,1
382,True,1
383,pandemia,1
384,Takeaways,1
385,Die,1
386,Spread,1
387,Country,1
388,que,1
389,"Peers,",1
390,Bedeviled,1
391,ahora,1
392,Cause.,1
393,Very,1
394,Diane,1
395,Across,1
396,Backs,1
397,Afghan,1
398,Company,1
399,Steal,1
400,botella:,1
401,Report,1
402,"Consulate,",1
403,York,1
404,Superstar,1
405,Real-Life,1
406,tema,1
407,abre,1
408,Unconstitutional,1
409,Outrage?,1
410,Orders,1
411,Geopolitical,1
412,Supremacy,1
413,Under,1
414,Clean,1
415,Said,1
416,Without,1
417,es,1
418,Justice,1
419,Peak,1
420,Left,1
421,Luster,1
422,World.,1
423,frente,1
424,Mask?,1
425,Wants,1
426,Doesn’t.,1
427,Driving,1
428,"Francia,",1
429,News.,1
430,Pact,1
431,Exposed,1
432,el,1
433,Gloom,1
434,Relatives,1
435,Helps,1
436,Down,1
437,Surgery,1
438,von,1
439,ojos,1
440,equivocó,1
441,Rush,1
442,Briefly,1
443,declaración,1
444,Efforts,1
445,Back?,1
446,Doses.,1
447,Killing,1
448,Tsunami,1
449,End,1
450,frijoles,1
451,We,1
452,Wanes,1
453,Costs,1
454,Kicked,1
455,Politician,1
456,Estados,1
457,Alaska,1
458,Reopen,1
459,respuesta,1
460,política,1
461,Trans-Atlantic,1
462,Monthslong,1
463,podría,1
464,Meltdown,1
465,Offer,1
466,Indian,1
467,Quake,1
468,Spare,1
469,E.U.,1
470,Brand,1
471,Tests,1
472,Tenacity,1
473,‘Pods’,1
474,Patients,1
475,Literally,1
476,coronavirus.,1
477,Funds,1
478,Statement,1
479,Her,1
480,5,1
481,Pride,1
482,Moratorium,1
483,por,1
484,Wuhan,1
485,"Mission,",1
486,Strikes,1
487,cuello,1
488,Children,1
489,Energy,1
490,"Problems,",1
491,enfrenta,1
492,Science,1
493,Covid-19,1
494,raza,1
495,Responsibility,1
496,Shape,1
497,Longer,1
498,"Clearly,",1
499,Houston,1
500,Moved,1
501,lista,1
502,Threatens,1
503,"tabú,",1
504,Likely,1
505,Don’t,1
506,Need,1
507,Role,1
508,Powerful,1
509,Transfer,1
510,Troubles,1
511,Wearing,1
512,Furstenberg’s,1
513,Languid.,1
514,eso,1
515,Goya,1
516,Franco-American,1
517,All,1
518,Canadian,1
519,Problem,1
520,Unidos,1
521,April,1
522,It’s,1
523,una,1
524,Millions,1
525,los,1
526,Dime?,1
527,Expand,1
528,Aretha,1
529,Communist,1
530,Bar,1
531,Hospitalizations,1
532,Accessibility,1
533,Rules,1
534,Trump:,1
535,Pipelines?,1
536,Fragility,1
537,dijo,1
538,Parts,1
539,Unusual.,1
540,"China,",1
541,Controversial,1
542,Cloud,1
543,Shows,1
544,Abandon,1
545,coronavirus,1
546,equipo,1
547,Near,1
548,Building,1
549,Europe,1
550,Treaty,1
551,Only,1
552,Segregation:,1
553,Eviction,1
554,When,1
